drinkerID,drinkerName,barID,barName,state
19,Marco Sweeney,438,The Meek Kitten Bar,New Hampshire
20,Rees Maki,793,Pink Pirate Bar,Louisiana
20,Rees Maki,39,Overjoyed Frog Pub,Louisiana
20,Rees Maki,16,Ambitious Kitten ,Louisiana
21,Kieron Chambers,972,The Lackadaisical Lion Pub,Rhode Island
22,Logan Schuster,10,Glib Pear Bar,Massachusetts
22,Logan Schuster,705,The Comfortable Wife Pub,Massachusetts
22,Logan Schuster,708,The Concerned Crossbow Bar,Massachusetts
23,Douglas LePage,780,The Educated Apple ,Alaska
23,Douglas LePage,786,The Long Lioness Inn,Alaska
23,Douglas LePage,739,The Phobic Guitar Inn,Alaska
24,Markus Lewis,483,The Useful Cove Tavern,Iowa
24,Markus Lewis,569,The Tightfisted Adventurer Bar,Iowa
25,Maryk Ziegler,86,The Intelligent Lyre Pub,Vermont
25,Maryk Ziegler,735,Moldy Cod ,Vermont
25,Maryk Ziegler,317,The Mysterious Captain ,Vermont
26,Haydn Sandstrom,551,Brown Fish Bar,Florida
26,Haydn Sandstrom,58,The Lowly Bongo Pub,Florida
27,Cohen Schlicht,132,The Irritating Mole ,Virginia
28,Bohbi Schwager,250,Amazing Bongo Pub,Virgin Island
28,Bohbi Schwager,250,Amazing Bongo Pub,Virgin Island
28,Bohbi Schwager,187,The Jumpy Pizza ,Virgin Island
29,Rheo Myers,981,The Gainful Elf Bar,Nebraska
30,Kalum Sawyer,801,Motionless Wife Tavern,Arkansas
31,Aiden-Jack Vanderpoel,826,The Classy Cave Bar,Texas
32,Mikael Jenson,735,Moldy Cod ,Vermont
33,Ben Cast,129,The Debonair Lion Bar,New Hampshire
34,Saman Fietzer,156,Hushed Pizza Tavern,Texas
34,Saman Fietzer,987,Youthful Dog Pub,Texas
34,Saman Fietzer,987,Youthful Dog Pub,Texas
35,Mark Johnson,525,Panicky Adventurer Pub,Nebraska
35,Mark Johnson,879,The Graceful Wife ,Nebraska
35,Mark Johnson,879,The Graceful Wife ,Nebraska
36,Ryo Valente,64,The Damaged Frog ,Rhode Island
37,Temba Nelson,999,Untidy Rose Pub,Maine
38,Peter Caswell,545,Overrated Planet Tavern,North Carolina
38,Peter Caswell,696,Various Lyre Bar,North Carolina
39,Kalen Dugelman,827,Nine Captain Tavern,Georgia
39,Kalen Dugelman,884,The Economic Pikachu Tavern,Georgia
40,Jaydn Nuttle,957,Unsightly Pizza Inn,Guam
40,Jaydn Nuttle,65,Obeisant Dog Tavern,Guam
40,Jaydn Nuttle,65,Obeisant Dog Tavern,Guam
41,Lenyn Severson,909,The Gaping Lyre Tavern,Maine
41,Lenyn Severson,171,Skillful Noodle Pub,Maine
41,Lenyn Severson,260,The Oceanic Tiger Inn,Maine
42,Magnus Uddin,959,Outgoing Pup Inn,Northern Mariana Islands
42,Magnus Uddin,723,Jazzy Cake Tavern,Northern Mariana Islands
42,Magnus Uddin,66,Honorable Cod Tavern,Northern Mariana Islands
43,Callin Lawicki,926,The Private Pup Bar,Washington
43,Callin Lawicki,711,Unequaled Flower Inn,Washington
43,Callin Lawicki,630,The Deafening Wife Inn,Washington
44,Decklan Ramachandran,999,Untidy Rose Pub,Maine
44,Decklan Ramachandran,634,Various Pikachu Bar,Maine
44,Decklan Ramachandran,872,Vulgar Noodle Bar,Maine
45,Eimantas Resnick,901,Equal Apple ,Montana
45,Eimantas Resnick,693,Certain Pikachu Bar,Montana
46,Denis Schwager,657,The False Familiar Famous Onion ,Washington
46,Denis Schwager,503,Verdant Crossbow Pub,Washington
47,Jackie Ziegler,739,The Phobic Guitar Inn,Alaska
47,Jackie Ziegler,780,The Educated Apple ,Alaska
47,Jackie Ziegler,890,Miscreant Elf ,Alaska
48,Cooper Yocum,919,The Rude Lyre ,Wyoming
48,Cooper Yocum,919,The Rude Lyre ,Wyoming
49,Waqaas Wakefield,777,The Sour Tiger Pub,Kansas
50,Kyle Turco,228,The Garrulous Kitten Pub,Missouri
51,Graeme Olson,949,The Sour Crossbow Bar,Puerto Rico
51,Graeme Olson,495,The Uneven Pirate Bar,Puerto Rico
51,Graeme Olson,455,The Nostalgic Noodle Bar,Puerto Rico
52,Seane Hancock,450,The Fortunate Gorilla Pub,Pennsylvania
52,Seane Hancock,397,The Previous Fish Pub,Pennsylvania
53,Conlon Cast,837,Loose Crossbow Inn,South Carolina
53,Conlon Cast,384,Quack Kitten Bar,South Carolina
53,Conlon Cast,889,Clever Pup Bar,South Carolina
54,Dawud Hesch,485,The Nosy Trumpet Pub,North Carolina
55,Dalton Bowers,191,The Clever Guitar Bar,Mississippi
55,Dalton Bowers,880,The Thinkable Guitar ,Mississippi
55,Dalton Bowers,880,The Thinkable Guitar ,Mississippi
56,Shadow Yocum,937,Lush Toad Tavern,Iowa
56,Shadow Yocum,430,The Frightened Frightening Full Fumbling Functional Frog Tavern,Iowa
57,Macaulay Schlicht,619,The Minor Captain Inn,Wyoming
57,Macaulay Schlicht,619,The Minor Captain Inn,Wyoming
58,Callin Root,701,The Broad Lioness Bar,South Dakota
59,Abraham Uflan,223,The Interesting Pirate Inn,American Samoa
59,Abraham Uflan,223,The Interesting Pirate Inn,American Samoa
59,Abraham Uflan,186,Three Pup Inn,American Samoa
60,Kellan Resnick,236,Ahead Pup Bar,Hawaii
60,Kellan Resnick,393,Understood Moose Inn,Hawaii
61,Aun Irwin,325,Enormous Toad Pub,Louisiana
62,Darius Reardon,906,The Changeable Mole Pub,South Dakota
62,Darius Reardon,509,Macho Crossbow ,South Dakota
62,Darius Reardon,637,Zippy Kitten Pub,South Dakota
63,Ash Sellon,968,The Chunky Planet ,Nevada
64,Davy Irwin,307,Alcoholic Husband Tavern,Vermont
64,Davy Irwin,101,The Distinct Lion Bar,Vermont
64,Davy Irwin,101,The Distinct Lion Bar,Vermont
65,Shaughn Norquist,624,The Satisfying Noodle Inn,Hawaii
65,Shaughn Norquist,56,Eight Badger Pub,Hawaii
66,Cruiz Ortiz,287,Average Lion ,California
66,Cruiz Ortiz,273,The Brave Badger Inn,California
66,Cruiz Ortiz,327,The Crooked Gorilla Inn,California
67,Ruari Ulrich,842,Worthless Dog Inn,Wyoming
67,Ruari Ulrich,894,Lively Moose Pub,Wyoming
68,Zak Ventotla,880,The Thinkable Guitar ,Mississippi
68,Zak Ventotla,382,The Jealous Lion Tavern,Mississippi
68,Zak Ventotla,772,The Painstaking Mole Tavern,Mississippi
69,Aleem Uddin,4,The  Fretful Pizza Bar,Iowa
70,Cambell Zeller,185,Silly Bongo Tavern,Oregon
70,Cambell Zeller,185,Silly Bongo Tavern,Oregon
70,Cambell Zeller,586,The Careless Apple Tavern,Oregon
71,Kole Cannon,714,Tidy Elf Bar,Ohio
71,Kole Cannon,647,The Kindly Kitten Bar,Ohio
72,Chin Zeaser,821,The Icy Frog Inn,South Carolina
72,Chin Zeaser,837,Loose Crossbow Inn,South Carolina
73,Donald Davis,622,The Careful Pikachu Bar,Northern Mariana Islands
73,Donald Davis,774,Disgusted Guitar Pub,Northern Mariana Islands
74,Etienne Kalleg,199,The Noisy Moose ,Marshall Islands
74,Etienne Kalleg,148,The Purring Moose Pub,Marshall Islands
74,Etienne Kalleg,148,The Purring Moose Pub,Marshall Islands
75,Vrishin Thompson,333,Flat Kitten Tavern,Ohio
76,Edwin Reyes,637,Zippy Kitten Pub,South Dakota
76,Edwin Reyes,701,The Broad Lioness Bar,South Dakota
76,Edwin Reyes,868,The Understood Captain Pub,South Dakota
77,Robin Olson,107,Tenuous Captain Bar,Minnesota
78,Orlando Schiebel,429,The False Familiar Famous Onion Inn,Palau
78,Orlando Schiebel,14,The Icy Dog ,Palau
79,Pavit Reardon,768,Jagged Snowman Bar,Louisiana
79,Pavit Reardon,468,Psychedelic Pirate Pub,Louisiana
79,Pavit Reardon,768,Jagged Snowman Bar,Louisiana
80,TJ Ferry,921,The Macho Trumpet Inn,Rhode Island
81,Dermot Maki,36,Thoughtful Trumpet Bar,Vermont
82,Jebadiah Ashwoon,770,Obsequious Elf Pub,Texas
82,Jebadiah Ashwoon,987,Youthful Dog Pub,Texas
83,Majid Davidson,22,Ripe Lyre Tavern,Marshall Islands
84,Rayden Norquist,109,Hateful Mole Pub,Pennsylvania
84,Rayden Norquist,397,The Previous Fish Pub,Pennsylvania
85,Han Roberts,718,Steady Toad Bar,New Jersey
85,Han Roberts,725,Abundant Cave Pub,New Jersey
86,Ruaidhri Maki,210,The Absent Lioness Pub,North Dakota
87,Rehaan McCormack,365,The Tense Armadillo Tavern,Illinois
88,Immanuel Christensen,471,Used Pikachu Inn,Arkansas
88,Immanuel Christensen,934,The Energetic Husband Bar,Arkansas
89,Arlo Soloman,237,Alluring Trumpet Pub,South Dakota
89,Arlo Soloman,498,The Brash Kitten Tavern,South Dakota
89,Arlo Soloman,183,The Interesting Noodle Bar,South Dakota
90,Rhy Celedon,313,The Natural Trumpet Bar,Utah
91,Garry Paiser,965,The Xenophobic Badger Pub,Wisconsin
91,Garry Paiser,965,The Xenophobic Badger Pub,Wisconsin
92,Lorenz Yang,680,Rainy Onion ,Iowa
93,Colvin Sandstrom,654,Wistful Fish Bar,Maine
94,Chase Hesch,65,Obeisant Dog Tavern,Guam
94,Chase Hesch,65,Obeisant Dog Tavern,Guam
94,Chase Hesch,957,Unsightly Pizza Inn,Guam
95,Conley Hesch,301,The Placid Apple Bar,Marshall Islands
95,Conley Hesch,331,The Equal Kitten ,Marshall Islands
96,Ken Zeaser,804,The Normal Badger Bar,New Jersey
96,Ken Zeaser,165,The Happy Kitten Tavern,New Jersey
96,Ken Zeaser,42,The Rotten Apple Bar,New Jersey
97,Mylo McCormack,423,Imperfect Lyre Pub,Wisconsin
97,Mylo McCormack,114,The Gaping Bongo Bar,Wisconsin
97,Mylo McCormack,423,Imperfect Lyre Pub,Wisconsin
98,Ahmed Maki,960,The Last Pikachu Tavern,Maryland
98,Ahmed Maki,259,Best Captain Pub,Maryland
99,Maisum Jones,237,Alluring Trumpet Pub,South Dakota
99,Maisum Jones,744,The Shrill Cod Bar,South Dakota
100,Beau Yocum,281,The Vast Bongo Bar,Tennessee
100,Beau Yocum,571,Bent Onion Pub,Tennessee
101,Jack Duffman,870,The Glamorous Badger ,Colorado
101,Jack Duffman,870,The Glamorous Badger ,Colorado
101,Jack Duffman,858,Spiteful Rose Pub,Colorado
102,Creag Dinkins,723,Jazzy Cake Tavern,Northern Mariana Islands
102,Creag Dinkins,992,The Xenophobic Tiger Inn,Northern Mariana Islands
102,Creag Dinkins,723,Jazzy Cake Tavern,Northern Mariana Islands
103,Thierry Dinkins,234,The Adaptable Crossbow Bar,Puerto Rico
103,Thierry Dinkins,899,New Armadillo ,Puerto Rico
103,Thierry Dinkins,163,Dry Pizza Pub,Puerto Rico
104,Abdur Frick,759,Important Lioness Inn,Utah
104,Abdur Frick,520,The Wooden Pear Tavern,Utah
105,Caileb-John Illingsworth,627,Fluttering Cave Inn,Federated States of Micronesia
105,Caileb-John Illingsworth,264,Didactic Toad Pub,Federated States of Micronesia
106,Jay Cataldi,671,Glossy Lioness Tavern,District of Columbia
106,Jay Cataldi,831,Sharp Gate Bar,District of Columbia
106,Jay Cataldi,33,Groovy Crossbow Bar,District of Columbia
107,Keiran Hoffman,560,Ritzy Apple Tavern,Federated States of Micronesia
107,Keiran Hoffman,560,Ritzy Apple Tavern,Federated States of Micronesia
107,Keiran Hoffman,497,The Unadvised Husband Inn,Federated States of Micronesia
108,Sharoz Schickowski,179,The Jagged Lioness ,South Carolina
108,Sharoz Schickowski,891,Pointless Toad Tavern,South Carolina
108,Sharoz Schickowski,424,The Symptomatic Trumpet Tavern,South Carolina
109,Matej Celedon,825,The Inexpensive Elf Tavern,American Samoa
109,Matej Celedon,507,Unaccountable Bongo Inn,American Samoa
109,Matej Celedon,885,The Fearful Fearless Skull ,American Samoa
110,Eryk Orwig,846,Parallel Pear ,Northern Mariana Islands
110,Eryk Orwig,992,The Xenophobic Tiger Inn,Northern Mariana Islands
111,Ren Norquist,641,Ordinary Frog Tavern,Rhode Island
112,Johnnie Zeller,658,Thoughtless Armadillo Inn,New Hampshire
113,Azaan Ripka,951,Jazzy Onion Bar,Utah
113,Azaan Ripka,514,Acid Trumpet ,Utah
114,Benn Moody,456,Military Pizza Inn,Washington
114,Benn Moody,903,The Puffy Wife Tavern,Washington
115,Harley Chambers,167,The Tasty Onion Pub,Georgia
116,Zohaib Thompson,953,The Halting Crossbow ,Kentucky
117,Folarinwa Norquist,631,The Hesitant Gate Bar,Wyoming
117,Folarinwa Norquist,842,Worthless Dog Inn,Wyoming
117,Folarinwa Norquist,842,Worthless Dog Inn,Wyoming
118,Sharland Schutz,558,Penitent Gate Pub,Texas
118,Sharland Schutz,594,The Horrible Apple ,Texas
119,Baron Yang,804,The Normal Badger Bar,New Jersey
119,Baron Yang,655,The Xenophobic Gate Inn,New Jersey
120,Cody-Lee Ingram,542,Discreet Gorilla Pub,Louisiana
121,Fauzaan Schwager,827,Nine Captain Tavern,Georgia
121,Fauzaan Schwager,403,Uptight Banjo Pub,Georgia
121,Fauzaan Schwager,883,Overwrought Gate Inn,Georgia
122,Zerah Chapman,439,The Periodic Lioness Bar,Nevada
122,Zerah Chapman,2,The Bright Frog ,Nevada
122,Zerah Chapman,97,Aromatic Adventurer Tavern,Nevada
123,Dylan Nugent,249,The Fuzzy  Noodle ,Maryland
123,Dylan Nugent,221,The Exciting Exclusive Garden Inn,Maryland
123,Dylan Nugent,319,Muddled Noodle ,Maryland
124,Asa Bateman,332,The Prickly Frog Bar,Michigan
124,Asa Bateman,209,Sneaky Cove Pub,Michigan
124,Asa Bateman,488,Swanky Cake Bar,Michigan
125,Prince Myers,519,Periodic Flower ,Massachusetts
126,Lauren Keller,899,New Armadillo ,Puerto Rico
127,Kasey Hydinger,620,Obeisant Wife ,Michigan
128,Zayd Hylan,803,The Oceanic Onion Bar,Washington
128,Zayd Hylan,456,Military Pizza Inn,Washington
128,Zayd Hylan,903,The Puffy Wife Tavern,Washington
129,Jebadiah Wakefield,854,Volatile Snowman Tavern,Tennessee
129,Jebadiah Wakefield,316,The Heady Noodle Pub,Tennessee
129,Jebadiah Wakefield,73,Overjoyed Fish Pub,Tennessee
130,Kealan Rice,289,The Ugly Garden Bar,Montana
130,Kealan Rice,227,Meek Captain ,Montana
130,Kealan Rice,693,Certain Pikachu Bar,Montana
131,Farhaan Cast,667,The Loud Onion Bar,New Mexico
131,Farhaan Cast,997,The Obtainable Trumpet Pub,New Mexico
131,Farhaan Cast,77,Spectacular Flower Pub,New Mexico
132,Guthrie LePage,451,Imaginary Pikachu Pub,Kansas
132,Guthrie LePage,881,The Cloistered Pup Tavern,Kansas
133,Evan Ashwoon,619,The Minor Captain Inn,Wyoming
134,Broghan Vogal,512,The Wretched Guitar Inn,Colorado
134,Broghan Vogal,616,The Old-Fashioned Captain Pub,Colorado
135,Johndean McCormack,62,Nippy Captain ,Northern Mariana Islands
136,Kit Hydinger,192,The Electric Gate ,Connecticut
137,Jarl Tapia,906,The Changeable Mole Pub,South Dakota
138,Parkash Nuttle,102,Friendly Onion Pub,New Jersey
139,Gabriel Davidson,737,Blue-Eyed Garden Tavern,Arizona
139,Gabriel Davidson,712,The Festive Bongo Bar,Arizona
140,Ozzy Hancock,467,The Black-And-White Crossbow ,Massachusetts
141,Kyaan Hylan,154,Loud Lion Tavern,Arizona
141,Kyaan Hylan,369,Scary Lioness Bar,Arizona
141,Kyaan Hylan,606,Awful Armadillo Bar,Arizona
142,Okeoghene Tandy,945,Forgetful Armadillo Inn,Massachusetts
143,Asif Ortiz,617,Knotty Captain Tavern,Virgin Island
143,Asif Ortiz,267,The Infamous Captain ,Virgin Island
143,Asif Ortiz,617,Knotty Captain Tavern,Virgin Island
144,Mitchel Lawless,229,Shallow Armadillo Bar,Oregon
144,Mitchel Lawless,351,The Unusual Pizza Tavern,Oregon
145,Howard Bateman,996,The Unable Onion Pub,North Carolina
145,Howard Bateman,204,Mighty Pirate ,North Carolina
145,Howard Bateman,696,Various Lyre Bar,North Carolina
146,Aidy Stahl,112,Obedient Noodle Inn,Pennsylvania
146,Aidy Stahl,109,Hateful Mole Pub,Pennsylvania
146,Aidy Stahl,924,The Guiltless Elf Tavern,Pennsylvania
147,Liam Casal,177,The Unsightly Rose Bar,Alabama
148,Dilan Reardon,741,The Nostalgic Gate ,Illinois
148,Dilan Reardon,733,Arrogant Gorilla Pub,Illinois
148,Dilan Reardon,377,The Likeable Pear Inn,Illinois
149,Tanner Darnell,760,The Tiny Cod Inn,Idaho
149,Tanner Darnell,717,Parallel Cove Inn,Idaho
149,Tanner Darnell,395,Evasive Wife Inn,Idaho
150,Pravin Sandstrom,433,Dazzling Tiger ,North Dakota
151,Preston Ramachandran,923,Permissible Onion Pub,Georgia
151,Preston Ramachandran,980,Right Pizza Inn,Georgia
151,Preston Ramachandran,180,The Bouncy Pear Pub,Georgia
152,Orley McCormack,544,The Efficient Crossbow Bar,Nebraska
153,Maksymilian Moody,518,The Crowded Husband Inn,Oregon
153,Maksymilian Moody,586,The Careless Apple Tavern,Oregon
154,Ahoua Leisinger,62,Nippy Captain ,Northern Mariana Islands
155,Wei Casal,895,Shrill Toad Bar,Colorado
155,Wei Casal,203,The Clean Noodle Bar,Colorado
156,Aristomenis Haworth,718,Steady Toad Bar,New Jersey
157,Munmair McGinnis,905,Careless Fish Tavern,Vermont
158,Finnen Haworth,680,Rainy Onion ,Iowa
158,Finnen Haworth,368,The Unaccountable Kitten ,Iowa
158,Finnen Haworth,878,Stingy Armadillo Inn,Iowa
159,Del Myers,373,The Nifty Garden Tavern,Virginia
159,Del Myers,847,The Complete Trumpet ,Virginia
160,Caedan Ferro,924,The Guiltless Elf Tavern,Pennsylvania
160,Caedan Ferro,910,The Abrasive Fish Tavern,Pennsylvania
161,Rhudi Lulloff,721,Motionless Planet Bar,Arkansas
161,Rhudi Lulloff,471,Used Pikachu Inn,Arkansas
161,Rhudi Lulloff,51,The Adjoining Bongo Tavern,Arkansas
162,Milo Weinstein,189,The Husky Noodle Inn,Delaware
163,Argyll Ashwoon,73,Overjoyed Fish Pub,Tennessee
163,Argyll Ashwoon,571,Bent Onion Pub,Tennessee
163,Argyll Ashwoon,73,Overjoyed Fish Pub,Tennessee
164,Rubin Quizoz,574,The Unique Armadillo Tavern,Utah
165,Teodor Irwin,490,The Tiny Cave Bar,Rhode Island
165,Teodor Irwin,921,The Macho Trumpet Inn,Rhode Island
165,Teodor Irwin,262,The Happy Wife Tavern,Rhode Island
166,Ryder Eastman,239,Stimulating Badger Inn,West Virginia
166,Ryder Eastman,683,The Normal Flower Bar,West Virginia
166,Ryder Eastman,530,The Fanatical Gate Bar,West Virginia
167,Girius Lulloff,443,Uttermost Adventurer Inn,Michigan
167,Girius Lulloff,550, Bongo ,Michigan
168,Humza Ory,480,Bashful Rose Pub,Marshall Islands
169,Jordan Trusela,548,The Tasteful Captain Bar,North Dakota
169,Jordan Trusela,422,Spotless Banjo Inn,North Dakota
169,Jordan Trusela,355,Bumpy Pikachu Tavern,North Dakota
170,Pedram Shaffer,363,The Heavenly Heavy Hellish Planet Pub,Minnesota
171,Omar Davidson,452,The Cluttered Toad Bar,California
171,Omar Davidson,273,The Brave Badger Inn,California
171,Omar Davidson,553,The Gaping Frog Bar,California
172,Benjamin Lawless,389,The Vulgar Pikachu Bar,Missouri
172,Benjamin Lawless,91,The Brief Banjo ,Missouri
173,Precious Root,378,Vacuous Apple Pub,Wisconsin
173,Precious Root,588,Wealthy Mole ,Wisconsin
174,Michat Yates,25,Racial Pirate ,American Samoa
174,Michat Yates,975,The Perfect Planet Pub,American Samoa
175,Jesuseun Quinn,911,Marvelous Wife Tavern,Connecticut
175,Jesuseun Quinn,381,Hulking Badger ,Connecticut
176,Zaaine Ripka,576,Unwieldy Husband Pub,Mississippi
176,Zaaine Ripka,426,Dark Crossbow Tavern,Mississippi
176,Zaaine Ripka,346,The Homeless Bongo Tavern,Mississippi
177,Zhong Sandstrom,660,Productive Armadillo Pub,Nevada
177,Zhong Sandstrom,706,The Limping Pup Inn,Nevada
178,Calum Deitz,333,Flat Kitten Tavern,Ohio
178,Calum Deitz,385,The Truculent Skull Inn,Ohio
179,Malikye Paiser,848,The Resolute Gate Bar,Louisiana
180,Davy Hancock,312,The Heady Rose Tavern,Idaho
181,Justan Ostrander,242,Bent Apple ,Virginia
182,Santiago Orwig,507,Unaccountable Bongo Inn,American Samoa
182,Santiago Orwig,38,Stupendous Husband Inn,American Samoa
182,Santiago Orwig,186,Three Pup Inn,American Samoa
183,Carrich Ferry,469,The Sleepy Rose Pub,Minnesota
183,Carrich Ferry,922,The Trashy Moose ,Minnesota
184,Kaan Chapman,389,The Vulgar Pikachu Bar,Missouri
184,Kaan Chapman,136,Actually Planet ,Missouri
184,Kaan Chapman,136,Actually Planet ,Missouri
185,Abel Darnell,978,The Hoc Cave Bar,Maine
185,Abel Darnell,872,Vulgar Noodle Bar,Maine
185,Abel Darnell,474,Sparkling Mole Tavern,Maine
186,Marios Norquist,597,The Erect Pikachu Bar,Guam
186,Marios Norquist,740,Infamous Husband Bar,Guam
186,Marios Norquist,286,Different Gate ,Guam
187,Prince Sagar,547,The Obedient Moose Tavern,Massachusetts
187,Prince Sagar,150,Abounding Moose ,Massachusetts
187,Prince Sagar,462,Spotted Cake Bar,Massachusetts
188,Harlee Irwin,600,Elfin Garden Bar,California
188,Harlee Irwin,287,Average Lion ,California
189,Sullivan Ziegler,606,Awful Armadillo Bar,Arizona
189,Sullivan Ziegler,737,Blue-Eyed Garden Tavern,Arizona
190,Addisson Moore,120,The Spectacular Adventurer Inn,Massachusetts
191,Aaryn Stahl,639,The Purring Lioness Inn,Alaska
191,Aaryn Stahl,786,The Long Lioness Inn,Alaska
191,Aaryn Stahl,890,Miscreant Elf ,Alaska
192,Titus Tandy,344,The Ruthless Lion Pub,Indiana
192,Titus Tandy,23,The Abiding Wife Inn,Indiana
192,Titus Tandy,344,The Ruthless Lion Pub,Indiana
193,Cailin Ortiz,325,Enormous Toad Pub,Louisiana
193,Cailin Ortiz,39,Overjoyed Frog Pub,Louisiana
193,Cailin Ortiz,834,The Silky Pear Inn,Louisiana
194,Fergie Jagtap,581,The Different Skull Bar,Connecticut
195,Tariq-Jay Cast,238,Worried Captain Tavern,Texas
195,Tariq-Jay Cast,558,Penitent Gate Pub,Texas
195,Tariq-Jay Cast,582,Delicious Garden Bar,Texas
196,Kaiwen Kassing,94,The Workable Kitten Inn,Delaware
197,Kaid Knutson,793,Pink Pirate Bar,Louisiana
197,Kaid Knutson,468,Psychedelic Pirate Pub,Louisiana
197,Kaid Knutson,16,Ambitious Kitten ,Louisiana
198,Taylor-Lee Zeaser,890,Miscreant Elf ,Alaska
199,Colton Ingram,842,Worthless Dog Inn,Wyoming
199,Colton Ingram,631,The Hesitant Gate Bar,Wyoming
200,Marty Yocum,712,The Festive Bongo Bar,Arizona
200,Marty Yocum,685,The Industrious Skull Pub,Arizona
200,Marty Yocum,416,The Flawless Mole Inn,Arizona
201,Ian Wagle,306,Pleasant Frog ,West Virginia
202,Landon Sonderling,235,The Waggish Mole Inn,Arizona
202,Landon Sonderling,606,Awful Armadillo Bar,Arizona
203,Fawkes Rogers,422,Spotless Banjo Inn,North Dakota
203,Fawkes Rogers,422,Spotless Banjo Inn,North Dakota
204,Adie Davis,506,Craven Skull Inn,Virginia
205,Maias Tiernan,127,Organic Banjo Tavern,Ohio
206,Marcello Fletcher,763,The Impartial Cove Inn,Montana
206,Marcello Fletcher,871,The Dependent Pirate ,Montana
207,Coll Kassing,621,Fluttering Armadillo Bar,Nevada
208,Francis Mills,715,The Quarrelsome Adventurer Inn,Kentucky
209,Jerry Vogal,29,The Lonely Cake Tavern,Delaware
209,Jerry Vogal,128,The Simplistic Kitten Inn,Delaware
210,Anish Soukup,170,The Watery Badger ,Maryland
210,Anish Soukup,243,Torpid Snowman Inn,Maryland
210,Anish Soukup,249,The Fuzzy  Noodle ,Maryland
211,Kaid Dinkins,394,The Hurried Tiger Bar,Hawaii
211,Kaid Dinkins,236,Ahead Pup Bar,Hawaii
211,Kaid Dinkins,408,Rotten Guitar Pub,Hawaii
212,Maximillian Resnick,991,Unkempt Trumpet Pub,Alaska
213,Harris Kaskel,187,The Jumpy Pizza ,Virgin Island
213,Harris Kaskel,893,The Stimulating Husband Inn,Virgin Island
214,Cator Yang,485,The Nosy Trumpet Pub,North Carolina
215,Anthony Illingsworth,252,Fuzzy  Pup ,Arkansas
215,Anthony Illingsworth,471,Used Pikachu Inn,Arkansas
215,Anthony Illingsworth,297,The Fluttering Lion Tavern,Arkansas
216,Sylvain Moore,624,The Satisfying Noodle Inn,Hawaii
217,Benedict Valente,647,The Kindly Kitten Bar,Ohio
217,Benedict Valente,44,Alleged Cake Inn,Ohio
217,Benedict Valente,152,The Truculent Badger Bar,Ohio
218,Maaz Ramachandran,266,The Tangy Planet Pub,Rhode Island
218,Maaz Ramachandran,262,The Happy Wife Tavern,Rhode Island
218,Maaz Ramachandran,641,Ordinary Frog Tavern,Rhode Island
219,Sayf Severson,361,The Waggish Moose Inn,Hawaii
219,Sayf Severson,361,The Waggish Moose Inn,Hawaii
