transactionID,drinkerID,drinkerName,barID,barName,time,beer ordered,price
40,4109,Haydn Uddin,824,Sharp Cove ,23,Coors Light,3
41,4710,Kole Martin,74,The Spotless Tiger Bar,23,Heady Topper,3.5
42,3872,Jai Schickowski,36,Thoughtful Trumpet Bar,18,King Julius,3
43,1466,Fezaan Ory,218,The Shocking Toad Tavern,21,Mil's Best Ice,3
44,1556,Ryhs Moody,901,Equal Apple ,24,Yuengling Lager,3
45,916,Enrique Moore,271,The Many Gate Tavern,17,Blue Moon,3
46,4616,Athol Hylan,234,The Adaptable Crossbow Bar,23,Heineken,3
47,1394,Nyah Dinkins,730,The  Flagrant Crossbow Tavern,24,Michelob Ultra,3.5
48,2955,Xiao Sandstrom,687,Broad Armadillo Inn,14,Corona Light,3
49,2918,Theo Ferry,178,Unnatural Bongo Inn,24,Icehouse,3.5
50,3082,Uchenna Trussel,83,Cool Guitar Bar,20,Sculpin IPA,4.0
51,456,Orley Darnell,160,Highfalutin Moose Inn,23,Budweiser,3
52,1718,Johndean Orwig,439,The Periodic Lioness Bar,13,King Julius,3
53,3521,Findlay-James Cannon,986,The Offbeat Mole Pub,14,Barrel-Aged Abraxas,4.0
54,3143,Kile Pettigrew,654,Wistful Fish Bar,16,Busch,4
55,3505,Su Sandstrom,208,Ambitious Snowman Bar,15,Yuengling Lager,3.5
56,1808,Steven-lee Severson,506,Craven Skull Inn,20,Guinness,4
57,2574,Santino Bauer,14,The Icy Dog ,17,Modelo especial,4
58,138,Parkash Nuttle,381,Hulking Badger ,23,Heady Topper,3.5
59,3254,Olivier Ulrich,636,The Witty Cove Pub,16,Bud Ice,3.5
60,882,Tarik Bauer,647,The Kindly Kitten Bar,21,Bud Light,3
61,4435,Cailin Leisinger,244,Tasteful Toad Tavern,14,Budweiser,3
62,2664,Dhavid Miller,228,The Garrulous Kitten Pub,20,Coors Banquet,3.5
63,2139,Zeek Moore,575,The Shaky Lyre Bar,18,Coors Light,3
64,3855,Frank LePage,437,Statuesque Noodle Bar,23,Coors Light,3
65,2272,Zeek Maki,673,Pleasant Pikachu Inn,14,Icehouse,3.5
66,982,Joeddy Casal,98,The Fat Faulty Lion ,22,Keystone Light,3
67,4502,Harlee Upson,202,Wandering Lioness ,21,Stella Artois,3
68,4952,Eoin Johnson,790,Third Gorilla Inn,18,Guinness,4.0
69,3955,Jai-Rajaram Mills,911,Marvelous Wife Tavern,18,Budweiser,4
70,2353,Ma'moon Soloman,33,Groovy Crossbow Bar,15,Keystone Light,4.0
71,2230,Enrique Jurgenson,99,The  Five Lioness Inn,20,Budweiser,3
72,414,Jarl Weinstein,733,Arrogant Gorilla Pub,16,Corona Light,3
73,2464,Marc-Anthony Severson,915,The Addicted Gorilla Inn,22,90 Minute IPA,4
74,659,Judah Duffman,987,Youthful Dog Pub,23,Coors Light,4
75,2788,Rivan Hancock,746,Cheerful Crossbow Inn,19,Stella Artois,3
76,4255,Ruslan Ferry,452,The Cluttered Toad Bar,20,Steel Reserve,3
77,3759,Alieu Hancock,461,Mixed Bongo Pub,12,Stella Artois,3
78,4505,Aarron Yang,276,Hilarious Fish Tavern,22,Coors Banquet,3.5
79,1724,Reiss Haworth,998,Festive Trumpet Bar,23,Bud Light,4.0
80,3844,Jaydon Lulloff,321,The Untidy Crossbow ,16,Breakfast Stout,3
81,2904,Idrees Reyes,421,The Depressed Fish Bar,16,Stella Artois,3.5
82,3850,Kiegan Trebil,828,The Axiomatic Pirate Bar,18,Breakfast Stout,3
83,3177,Argyle Kaskel,707,Wise Toad Tavern,20,Coors Light,3
84,3367,Abdullah Wagle,21,The Ripe Adventurer Inn,17,Icehouse,3.5
85,1598,Rayhan Weinstein,293,Equable Mole Inn,18,Mil's Best Ice,3
86,2245,Mark Fietzer,222,Unbiased Armadillo Bar,14,Stella Artois,4.0
87,1066,Kieran Sweeney,72,The Sweltering Gorilla Pub,15,Natural Ice,3.5
88,4251,Ceirin Bateman,582,Delicious Garden Bar,18,Pabst Blue Ribbon,4.0
89,3746,Graeme Haworth,608,Gullible Gusty Cod Pub,13,Modelo especial,3.5
90,349,Layton Yang,749,Future Futuristic Flower Inn,24,Coors Light,3
91,2316,Amani Soloman,699,Smooth Cake Pub,23,90 Minute IPA,3.5
92,2558,Dawson Leisinger,49,Eminent Gate Pub,17,Keystone Light,4.0
93,3754,Bradley Jagtap,481,Real Flower Bar,15,Sculpin IPA,3.5
94,2180,Hayden Sellon,333,Flat Kitten Tavern,12,Icehouse,4.0
95,899,Ronnie Ory,269,The Wonderful Elf Bar,22,KBS,4.0
96,1373,Jaxson Quizoz,149,Verdant Flower Tavern,22,Steel Reserve,3.5
97,1329,Kal-el Vogal,394,The Hurried Tiger Bar,17,Blue Moon,3.5
98,2261,Shayne Quinn,306,Pleasant Frog ,16,Bud Light,3.5
99,1615,Idris Upson,769,The Tearful Guitar Inn,15,Bud Light,4.0
100,3782,Alexx Bateman,743,The Wary Garden Tavern,18,Stella Artois,3
101,665,Caelan Ory,883,Overwrought Gate Inn,15,Pabst Blue Ribbon,3
102,2536,Paul Shaffer,607,Ad Crossbow Pub,19,KBS,3
103,4881,Dhavid Woo,923,Permissible Onion Pub,17,King Julius,3.5
104,750,Alhaji Mills,654,Wistful Fish Bar,18,Natural Ice,3
105,847,Samarjit Bongard,631,The Hesitant Gate Bar,24,90 Minute IPA,4.0
106,2139,Zeek Moore,423,Imperfect Lyre Pub,17,Pabst Blue Ribbon,3.5
107,4213,Rehaan Norquist,641,Ordinary Frog Tavern,23,Steel Reserve,3.5
108,4433,Rayne Schlicht,142,The Eager Lyre Tavern,16,Arrogant Bastard Ale,4.0
109,2399,Jomuel Christensen,725,Abundant Cave Pub,24,Miller High Life,3
110,1084,Lloyde Kassing,651,Lean Banjo Bar,13,Miller Lite,3.5
111,2678,Cejay Reamer,250,Amazing Bongo Pub,19,Bud Light,4.0
112,3439,Teighen Root,432,The Best Tiger Pub,21,Keystone Light,3.5
113,4156,Patrick Sellon,137,Shut Onion Tavern,16,Dos Equis,3.5
114,823,Xabier Schickowski,816,The Thin Pizza Pub,18,Miller High Life,3
115,4692,Tony Thompson,454,Marked Lion Bar,20,Natural Light,4.0
116,847,Samarjit Bongard,192,The Electric Gate ,23,Budweiser,4.0
117,1010,Basile Bauer,408,Rotten Guitar Pub,18,Keystone Light,3.5
118,1300,Jardine Mills,137,Shut Onion Tavern,19,Pabst Blue Ribbon,4.0
119,3333,Awais Ingram,200,The Abiding Moose Bar,22,Pabst Blue Ribbon,4.0
120,816,Kit Knutson,787,Unsightly Elf Inn,22,Backwoods Bastard,4
121,3667,Abdul-Rehman Vanderpoel,258,Boundless Adventurer ,19,Yuengling Lager,3
122,1665,Kaleem DeLorenzo,86,The Intelligent Lyre Pub,22,Miller High Life,3.5
123,2361,Etienne Jones,638,The Wild Onion ,17,90 Minute IPA,4.0
124,2809,Al Schickowski,559,The Tightfisted Guitar ,17,90 Minute IPA,4.0
125,451,Alber Vail,158,The Eager Lyre Tavern,23,Dos Equis,3.5
126,2245,Mark Fietzer,924,The Guiltless Elf Tavern,17,Natural Light,4.0
127,2825,Alexei Maki,695,Tame Fish Inn,17,Yuengling Lager,3
128,3097,Yago Tapia,468,Psychedelic Pirate Pub,16,Centennial IPA,4.0
129,3682,Matteo Vader,240,The Purple Badger Bar,24,Steel Reserve,3
130,3734,Ziya Quinn,305,Rich Apple Bar,20,Icehouse,4.0
131,1026,Pierre-Antoine Turco,423,Imperfect Lyre Pub,17,Blue Moon,3
132,747,Duncan Woo,859,The Even Excellent Excited Cave ,23,Arrogant Bastard Ale,4.0
133,3392,Ehsen Sawyer,200,The Abiding Moose Bar,21,Icehouse,3.5
134,2580,Theo Johnsen,374,Luxuriant Noodle Tavern,14,60 Minute IPA,4
135,4292,Parkash Sonderling,74,The Spotless Tiger Bar,19,Kentucky Brunch Brand Stout,3
136,1331,Sohaib Cannon,247,The Slim Lyre ,20,Natural Ice,3.5
137,4509,Rhein Schmitt,523,The General Gentle Adventurer Tavern,20,Natural Ice,4
138,1029,Flint Chapman,227,Meek Captain ,18,Keystone Light,3
139,1551,Shayan Linde,593,The Goofy Badger Pub,12,Michelob Ultra,4
140,61,Aun Irwin,667,The Loud Onion Bar,20,90 Minute IPA,3.5
141,3372,Yorgos Pak,167,The Tasty Onion Pub,18,Corona Light,4.0
142,3739,Layton Norquist,382,The Jealous Lion Tavern,15,Sculpin IPA,4.0
143,166,Ryder Eastman,753,The Billowy Wife Pub,18,Marshmallow Handjee,3
144,1340,Warren Sawyer,19,Ubiquitous Bongo Pub,17,Stella Artois,3
145,3785,Andreas Jenson,361,The Waggish Moose Inn,21,Coors Light,4.0
146,1337,Fraser Quizoz,366,The Useful Garden ,13,Pabst Blue Ribbon,4
147,3348,Alber Haworth,944,Political Gate Inn,14,Breakfast Stout,4
148,3095,Sabeen Cast,410,Crazy Frog Inn,20,Heineken,4.0
149,4857,Bony Root,201,The Dazzling Husband Pub,13,King Julius,3.5
150,3985,Hunter Lawless,826,The Classy Cave Bar,15,Miller Lite,3
151,711,Barath Schutz,301,The Placid Apple Bar,22,Breakfast Stout,4.0
152,2349,Jorryn Ebner,117,Fancy Guitar Pub,16,Bud Ice,4.0
153,3768,Forbes Trusela,543,The Seemly Rose ,21,Modelo especial,3
154,473,Oisin Darnell,58,The Lowly Bongo Pub,18,Keystone Light,3.5
155,876,Seane Ingram,582,Delicious Garden Bar,21,Heineken,4.0
156,693,Nasser Johnson,80,Well-Groomed Crossbow Bar,21,Bud Light,3
157,1919,Lachlainn Leisinger,746,Cheerful Crossbow Inn,15,Pabst Blue Ribbon,3
158,3096,Allister Maki,982,Sticky Onion ,17,Centennial IPA,4.0
159,2906,Yasin Sagar,50,The Real Adventurer Tavern,14,Dos Equis,3.5
160,4628,Ricards Yocum,416,The Flawless Mole Inn,14,60 Minute IPA,4.0
161,4022,Olaoluwapolorimi Ulrich,504,Angry Pikachu Tavern,17,Heineken,3.5
162,3877,Oran Davidson,624,The Satisfying Noodle Inn,24,90 Minute IPA,4
163,4486,Raheem Eastman,848,The Resolute Gate Bar,19,Lagunitas Sucks,3.5
164,4853,Murdo Rice,678,Sulky Lioness Bar,21,Breakfast Stout,3.5
165,2106,Bentley Ory,557,The Lush Frog Pub,14,Bud Light,3
166,186,Marios Norquist,551,Brown Fish Bar,14,Heady Topper,3
167,204,Adie Davis,294,The Long-Term Husband Tavern,22,90 Minute IPA,4.0
168,3745,Rayden Vader,505,The Pale Fish Tavern,19,Guinness,3.5
169,1899,Tye Knutson,672,The Lamentable Mole Pub,14,Blue Moon,4.0
170,2075,Ziyaan Moody,454,Marked Lion Bar,22,Pabst Blue Ribbon,3
171,4500,Karam Martin,680,Rainy Onion ,18,Blue Moon,3
172,1526,Eagann Weinstein,753,The Billowy Wife Pub,19,Icehouse,3.5
173,1237,Grant Quinn,335,Ruthless Kitten Inn,23,90 Minute IPA,3
174,804,Bradlie Tiernan,411,The Addicted Pikachu Pub,18,Pabst Blue Ribbon,4.0
175,4130,Windsor Moody,175,The Husky Garden Inn,19,Modelo especial,4.0
176,1333,Sunny Napier,954,Bored Captain Pub,20,Stella Artois,3.5
177,1335,Rohaan Van Zandt,334,Secretive Planet Bar,24,Steel Reserve,3
178,1954,Cohan Baxster,85,The Unable Crossbow Inn,14,Coors Banquet,4.0
179,1046,Karson Nugent,385,The Truculent Skull Inn,21,Heineken,3
180,2690,Jasim Uddin,492,Handsomely Rose Tavern,20,Very Hazy,3
181,7,Ritchie Shaffer,908,The Ahead Planet Inn,14,Sculpin IPA,4
182,3541,Jarl Paiser,302,The Warm Pirate Pub,20,Icehouse,4.0
183,165,Teodor Irwin,186,Three Pup Inn,14,Keystone Light,3.5
184,2513,Morton Trussel,818,Humorous Garden Inn,18,Michelob Ultra,3.5
185,3363,Klevis Hesch,220,The Raspy Mole ,12,Bud Light,4.0
186,1933,Kane Sandstrom,126,Zealous Cove Tavern,24,60 Minute IPA,4
187,2897,Asif Norquist,998,Festive Trumpet Bar,17,Breakfast Stout,4
188,2581,Apisai Sonderling,32,The Juvenile Toad Tavern,23,60 Minute IPA,4.0
189,4073,Rahil Stahl,753,The Billowy Wife Pub,21,Mil's Best Ice,3.5
190,2255,Binod Cataldi,777,The Sour Tiger Pub,12,Modelo especial,3.5
191,1901,Ramanas Dewalt,814,Educated Cod Inn,15,Lagunitas Sucks,4.0
192,789,Aron Sandstrom,461,Mixed Bongo Pub,13,Keystone Light,3
193,2604,Fares Darnell,181,Past Kitten Pub,22,Mil's Best Ice,3
194,4635,Rorie Resnick,705,The Comfortable Wife Pub,17,Budweiser,3
195,2708,Andreas Orwig,673,Pleasant Pikachu Inn,16,Very Hazy,3
196,2520,Latif Jenson,430,The Frightened Frightening Full Fumbling Functional Frog Tavern,23,Busch,3
197,2530,Roan Dinkins,426,Dark Crossbow Tavern,19,Heady Topper,3
198,2147,Daimhin Cataldi,896,Easy Gorilla Inn,17,Mil's Best Ice,3.5
199,3511,Kayam Mccord,73,Overjoyed Fish Pub,19,Yuengling Lager,3
200,2062,Kory Van Zandt,202,Wandering Lioness ,23,Stella Artois,3
201,130,Kealan Rice,286,Different Gate ,21,Coors Banquet,3
202,2554,Keiron Hesch,772,The Painstaking Mole Tavern,21,Keystone Light,3
203,1769,Dorian Johnsen,103,Judicious Moose Inn,19,Stella Artois,3
204,2216,Dominic Davidson,839,Wary Rose Inn,15,90 Minute IPA,3.5
205,902,Kamron Trusela,685,The Industrious Skull Pub,22,Miller Lite,3
206,1131,Johnpaul Turco,264,Didactic Toad Pub,16,Miller Lite,4.0
207,1377,Jake Cannon,99,The  Five Lioness Inn,14,KBS,4
208,882,Tarik Bauer,512,The Wretched Guitar Inn,14,Keystone Light,3
209,3999,Karson Sandstrom,925,The Puzzled Adventurer Bar,24,Barrel-Aged Abraxas,3
210,2774,Bony Hesch,146,The Lively Badger Bar,24,Budweiser,4.0
211,4704,Wyatt LePage,650,The Tested Cod ,20,Michelob Ultra,3.5
212,1941,Rice Pak,404,The Useless Banjo Inn,19,Lagunitas Sucks,4.0
213,4466,Dalton Jurgenson,377,The Likeable Pear Inn,18,Sculpin IPA,4.0
214,2020,Harley Duffman,83,Cool Guitar Bar,15,Breakfast Stout,3.5
215,3756,Ramone Turco,846,Parallel Pear ,19,Breakfast Stout,3
216,48,Cooper Yocum,597,The Erect Pikachu Bar,15,Barrel-Aged Abraxas,3
217,2293,Josese Davis,505,The Pale Fish Tavern,17,Corona Light,4
218,1850,Darius Hydinger,135,Rough Banjo ,15,Michelob Ultra,3
219,4464,Darwyn Reamer,790,Third Gorilla Inn,24,Icehouse,4.0
220,4379,Trai Wakefield,768,Jagged Snowman Bar,15,Breakfast Stout,4.0
221,2363,Hugo Cataldi,763,The Impartial Cove Inn,14,Keystone Light,4.0
222,946,Eiddon Soloman,218,The Shocking Toad Tavern,21,Mil's Best Ice,3
223,4098,Dolan Severson,138,The Bored Tiger Tavern,17,Coors Light,4.0
224,4045,Teighen Johnson,270,The Successful Pup Bar,18,Blue Moon,3
225,2674,Gene Napier,451,Imaginary Pikachu Pub,23,Miller High Life,3
226,868,Leyland Quinn,644,Accidental Husband Tavern,21,Michelob Ultra,4.0
227,481,Ronald Trebil,400,The Lacking Armadillo Bar,20,KBS,4.0
228,4451,Zinedine Ripka,971,The Plastic Tiger Bar,22,Stella Artois,4.0
229,1281,Domhnall Ortiz,517,The Taboo Dog Inn,19,Heineken,3
230,931,Cruz DeLorenzo,942,The Nice Badger Tavern,15,Steel Reserve,4.0
231,3888,Kynan Maki,549,The Mountainous Gorilla ,23,Guinness,3
232,4874,Kairn Root,90,The Half Pear Inn,17,Guinness,4.0
233,4950,Litrell Kaskel,238,Worried Captain Tavern,18,Icehouse,3
234,98,Ahmed Maki,170,The Watery Badger ,17,Pabst Blue Ribbon,4.0
235,2630,Lasse Ashwoon,787,Unsightly Elf Inn,23,Arrogant Bastard Ale,4.0
236,173,Precious Root,162,Aware Elf Bar,14,Mil's Best Ice,3.5
237,516,Brooke Yates,322,The Ordinary Mole Bar,16,Marshmallow Handjee,3
238,1014,Kaydn Bateman,145,The Smart Captain Inn,23,Blue Moon,3.5
239,1287,Niki Leisinger,91,The Brief Banjo ,15,Bud Ice,3.5
240,4870,Beau Orwig,971,The Plastic Tiger Bar,18,Dos Equis,3
241,1931,Arda Trebil,320,The Jumbled Frog ,18,60 Minute IPA,4.0
242,1401,Yannick Jenson,26,Neat Snowman Inn,15,Yuengling Lager,4.0
243,4737,Torin Sonderling,256,The Present Apple Tavern,23,Coors Light,4.0
244,4952,Eoin Johnson,87,Handsomely Bongo Inn,14,Centennial IPA,4.0
245,1866,Klevis Bauer,253,The Black-And-White Trumpet Tavern,17,Mil's Best Ice,3.5
246,1628,Yago Turco,644,Accidental Husband Tavern,22,Miller Lite,4.0
247,1483,Irvine Davis,611,Moldy Bongo Bar,19,Dos Equis,3
248,3021,Martyn Wagner,500,Versed Apple Bar,16,Modelo especial,4.0
249,575,Marley Johnsen,412,Deserted Wife Bar,23,90 Minute IPA,3.5
250,701,Atal Rice,578,Interesting Badger Tavern,23,Yuengling Lager,3.5
251,2310,Mael Yates,842,Worthless Dog Inn,21,Blue Moon,3.5
252,2390,Harri Ripka,563,Stereotyped Toad Inn,16,Coors Light,4.0
253,4284,Kael Uflan,318,The Boorish Cove Bar,16,Keystone Light,3.5
254,487,Hubert Sawyer,671,Glossy Lioness Tavern,20,Pabst Blue Ribbon,4.0
255,3026,Thomas-Jay Ostrander,651,Lean Banjo Bar,19,Natural Light,3
256,2623,Keenan Bauer,479,Thoughtless Husband ,23,Yuengling Lager,3
257,3740,Nasser Weinstein,761,The Violet Banjo Inn,20,Heineken,3.5
258,2965,Cairn Reardon,240,The Purple Badger Bar,22,Yuengling Lager,3.5
259,4372,Frazer Maki,929,Meek Tiger Tavern,22,Miller High Life,3.5
260,3136,Enrico Ziegler,21,The Ripe Adventurer Inn,19,Icehouse,3.5
261,1598,Rayhan Weinstein,578,Interesting Badger Tavern,21,Keystone Light,4.0
262,248,Declain Reardon,339,Squealing Cave Tavern,15,Blue Moon,4.0
263,4599,Ehsan Leisinger,105,The Wealthy Gate ,14,Arrogant Bastard Ale,4.0
264,2109,Dylan Celedon,255,Pumped Garden Tavern,14,Miller Lite,3.5
265,99,Maisum Jones,331,The Equal Kitten ,14,Sculpin IPA,3.5
266,4105,Kalani Irwin,442,Small Garden Inn,18,King Julius,3
267,3581,Tyra Mccord,725,Abundant Cave Pub,13,Stella Artois,3
268,3008,Rob Chambers,851,Colorful Cake Inn,22,Marshmallow Handjee,3
269,1483,Irvine Davis,35,The Scared Fish Bar,19,Stella Artois,3.5
270,1426,Prentice Yang,786,The Long Lioness Inn,15,Dos Equis,4.0
271,104,Abdur Frick,726,Alert Planet Tavern,14,Arrogant Bastard Ale,4
272,1719,Samual Sagar,881,The Cloistered Pup Tavern,13,Natural Light,3
273,1695,Mohanad Pettigrew,138,The Bored Tiger Tavern,23,Miller Lite,3.5
274,859,Micah Soloman,658,Thoughtless Armadillo Inn,21,60 Minute IPA,3.5
275,1354,Darrach Yang,622,The Careful Pikachu Bar,17,Sculpin IPA,3.5
276,2265,Christopher-Lee Kalleg,613,Heartbreaking Moose ,20,Very Hazy,3
277,2996,Ailin Hancock,300,Loose Trumpet ,16,Sculpin IPA,4.0
278,1933,Kane Sandstrom,612,The Pushy Banjo Bar,21,Arrogant Bastard Ale,4.0
279,2069,Mason Fletcher,531,Brown Noodle Tavern,17,Coors Light,3.5
280,2737,Chevy Zeller,551,Brown Fish Bar,24,Blue Moon,4.0
281,4694,Connar Vader,320,The Jumbled Frog ,19,Breakfast Stout,3
282,477,Babur Darnell,358,The Curvy Trumpet ,23,Natural Ice,3
283,3867,Toby Fletcher,53,Straight Kitten Pub,21,Bud Ice,3
284,3172,Alisdair Vader,783,Sophisticated Bongo Inn,17,Blue Moon,4.0
285,4313,Addisson Cannon,938,The Mere Dog Pub,24,Dos Equis,4
286,3236,Talha Keller,601,Oafish Pear Bar,24,Blue Moon,3
287,4005,Reynold Zeller,400,The Lacking Armadillo Bar,21,Miller Lite,3
288,4605,Ciarian Kalleg,77,Spectacular Flower Pub,19,Corona Light,3
289,216,Sylvain Moore,839,Wary Rose Inn,16,Miller Lite,3
290,2503,Tubagus Johnsen,732,The Valuable Badger Tavern,18,Miller Lite,4
291,436,Ash Uddin,558,Penitent Gate Pub,24,Budweiser,4
292,2963,Will Thompson,943,Limping Planet Tavern,19,90 Minute IPA,4.0
293,3838,Maanav Solberg,116,The Living Frog Pub,18,Busch,3.5
294,3995,Jacky Duffman,114,The Gaping Bongo Bar,14,Pabst Blue Ribbon,4.0
295,425,Robbi Schiebel,846,Parallel Pear ,22,Miller Lite,3
296,755,Bharath Bauer,139,The Macabre Gorilla Pub,17,Pabst Blue Ribbon,3
297,3109,Riach Leisinger,615,Tenuous Apple Inn,16,Keystone Light,4.0
298,1966,Oluwadamiloju DeLorenzo,858,Spiteful Rose Pub,23,Heineken,3.5
299,4494,Darrel Martin,661,Sweet Banjo ,18,Modelo especial,4.0
300,278,Caiden-Paul Caswell,475,The Juicy Cod Inn,18,Bud Ice,3
301,3132,Eason Nelson,53,Straight Kitten Pub,24,Miller High Life,3.5
302,263,Bezalel Ostrander,519,Periodic Flower ,21,90 Minute IPA,4.0
303,2503,Tubagus Johnsen,631,The Hesitant Gate Bar,16,Bud Light,3.5
304,4755,Dagon Thompson,113,Simple Lyre ,21,Icehouse,4.0
305,969,Veeran Jenson,177,The Unsightly Rose Bar,23,Corona Light,3.5
306,125,Prince Myers,269,The Wonderful Elf Bar,16,Modelo especial,3
307,1235,Finnen Van Zandt,122,Rustic Pirate Bar,17,King Julius,4.0
308,2171,McKenzie Boyd,37,The Waiting Guitar Pub,24,Natural Ice,3
309,4283,Ogheneruno Irwin,586,The Careless Apple Tavern,13,Breakfast Stout,3.5
310,3311,Reeve Martin,31,Delicate Gate Pub,18,Natural Light,4.0
311,1944,Thiago Wagner,865,Wrathful Mole Inn,18,Corona Light,3.5
312,750,Alhaji Mills,263,Uncovered Gorilla ,17,Steel Reserve,3
313,1564,Rogan Ziegler,234,The Adaptable Crossbow Bar,15,Bud Light,4.0
314,2607,Hiro Ashwoon,390,The Scary Armadillo Bar,18,Bud Light,4.0
315,3276,Brandon Ebner,586,The Careless Apple Tavern,23,Arrogant Bastard Ale,4
316,4481,Pawel Tandy,349,Languid Gate ,20,Natural Light,3.5
317,1850,Darius Hydinger,821,The Icy Frog Inn,23,Mil's Best Ice,4.0
318,2762,Pieter Tandy,952,The Rainy Bongo Pub,16,Breakfast Stout,3.5
319,3076,Nuada Trussel,175,The Husky Garden Inn,16,Busch,3.5
320,4531,Yasin Anderson,592,Sharp Pizza ,23,Modelo especial,4.0
321,3781,Gurthar Fietzer,242,Bent Apple ,23,Miller Lite,3
322,2153,Marley Sawyer,945,Forgetful Armadillo Inn,23,King Julius,3.5
323,923,Malakai Yang,685,The Industrious Skull Pub,16,Budweiser,3
324,970,Olaf Van Zandt,996,The Unable Onion Pub,15,Steel Reserve,4
325,4966,Amin Schmitt,845,Slippery Gorilla Inn,17,Guinness,3
326,413,Ismaeel Yang,708,The Concerned Crossbow Bar,18,Heady Topper,3
327,3252,Reng Yocum,124,Knotty Moose Bar,21,Pabst Blue Ribbon,4
328,3300,Finley Dinkins,453,Salty Mole Bar,20,Miller Lite,3
329,1363,Amir Root,457,The Accidental Banjo Pub,15,60 Minute IPA,4.0
330,1607,Zach Reamer,676,The Actually Noodle Pub,22,Yuengling Lager,4.0
331,3211,Talha Hesch,248,General Gentle Noodle Pub,24,Stella Artois,3
332,4760,Eric Eastman,658,Thoughtless Armadillo Inn,15,60 Minute IPA,3.5
333,986,Jiao Roberts,497,The Unadvised Husband Inn,21,Bud Ice,3
334,1339,Odin Aikin,641,Ordinary Frog Tavern,14,Corona Light,3
335,2915,Jordan Hancock,975,The Perfect Planet Pub,16,Natural Light,4.0
336,3710,Korey Maki,890,Miscreant Elf ,13,Pabst Blue Ribbon,4.0
337,195,Tariq-Jay Cast,446,Gaudy Snowman Tavern,23,Miller Lite,4.0
338,4980,McKauley Fletcher,432,The Best Tiger Pub,24,Michelob Ultra,3.5
339,4760,Eric Eastman,89,Marvelous Rose Pub,17,Sculpin IPA,4.0
